,event_id,load_id,trip_id,event_type,facility_id,scheduled_datetime,actual_datetime,detention_minutes,on_time_flag,location_city,location_state
113211,EVT00113212,LOAD00056606,TRIP00056606,Delivery,FAC00017,2026-01-01 11:22:10.749306,2026-01-01 12:11:45.652388,191.0,True,Seattle,WA
113215,EVT00113216,LOAD00056608,TRIP00056608,Delivery,FAC00037,2026-01-01 06:26:20.469541,2026-01-01 08:21:02.353253,0.0,True,Portland,OR
113221,EVT00113222,LOAD00056611,TRIP00056611,Delivery,FAC00029,2026-01-01 02:51:25.900500,2026-01-01 05:30:26.582451,167.0,False,Portland,OR
113229,EVT00113230,LOAD00056615,TRIP00056615,Delivery,FAC00029,2026-01-01 00:24:39.056035,2026-01-01 01:05:47.964343,227.0,True,Portland,OR
113233,EVT00113234,LOAD00056617,TRIP00056617,Delivery,FAC00012,2026-01-01 13:31:33.992291,2026-01-01 18:51:25.660854,42.0,False,New York,NY
113235,EVT00113236,LOAD00056618,TRIP00056618,Delivery,FAC00030,2026-01-01 13:45:14.501890,2026-01-01 19:26:57.020898,112.0,False,Philadelphia,PA
113243,EVT00113244,LOAD00056622,TRIP00056622,Delivery,FAC00018,2026-01-01 22:46:04.644181,2026-01-02 01:12:56.068186,114.0,False,Seattle,WA
113273,EVT00113274,LOAD00056637,TRIP00056637,Delivery,FAC00031,2026-01-01 19:21:23.052215,2026-01-01 20:26:45.758835,142.0,True,Portland,OR
113277,EVT00113278,LOAD00056639,TRIP00056639,Delivery,FAC00011,2026-01-01 02:43:02.190565,2026-01-01 06:47:57.851393,162.0,False,Detroit,MI
113281,EVT00113282,LOAD00056641,TRIP00056641,Delivery,FAC00025,2026-01-01 19:00:56.317557,2026-01-01 21:14:52.634008,34.0,False,Los Angeles,CA
113297,EVT00113298,LOAD00056649,TRIP00056649,Delivery,FAC00048,2026-01-01 05:43:47.828433,2026-01-01 05:51:15.194050,172.0,True,Seattle,WA
113299,EVT00113300,LOAD00056650,TRIP00056650,Delivery,FAC00020,2026-01-01 19:39:48.454593,2026-01-01 18:40:01.894077,0.0,True,Seattle,WA
113301,EVT00113302,LOAD00056651,TRIP00056651,Delivery,FAC00048,2026-01-01 10:22:17.481221,2026-01-01 11:24:04.618743,57.0,True,Portland,OR
113303,EVT00113304,LOAD00056652,TRIP00056652,Delivery,FAC00018,2026-01-01 23:32:54.213256,2026-01-02 03:19:01.883747,110.0,False,Seattle,WA
113309,EVT00113310,LOAD00056655,TRIP00056655,Delivery,FAC00031,2026-01-01 06:00:58.120564,2026-01-01 08:09:11.649221,206.0,False,Detroit,MI
113311,EVT00113312,LOAD00056656,TRIP00056656,Delivery,FAC00007,2026-01-01 02:38:16.212814,2026-01-01 03:50:31.777997,162.0,True,Philadelphia,PA
113319,EVT00113320,LOAD00056660,TRIP00056660,Delivery,FAC00001,2026-01-01 19:07:26.777509,2026-01-01 21:19:18.118906,0.0,False,Seattle,WA
113327,EVT00113328,LOAD00056664,TRIP00056664,Delivery,FAC00020,2026-01-01 04:53:11.460204,2026-01-01 05:05:42.238079,36.0,True,Los Angeles,CA
113331,EVT00113332,LOAD00056666,TRIP00056666,Delivery,FAC00023,2026-01-01 01:09:07.757927,2026-01-01 06:13:09.353337,90.0,False,Portland,OR
113337,EVT00113338,LOAD00056669,TRIP00056669,Delivery,FAC00039,2026-01-01 04:07:13.817729,2026-01-01 07:13:55.750913,122.0,False,Los Angeles,CA
113345,EVT00113346,LOAD00056673,TRIP00056673,Delivery,FAC00019,2026-01-02 03:01:41.650396,2026-01-02 03:43:19.444846,199.0,True,Charlotte,NC
113349,EVT00113350,LOAD00056675,TRIP00056675,Delivery,FAC00014,2026-01-01 15:38:28.110928,2026-01-01 19:35:12.649852,155.0,False,Seattle,WA
113351,EVT00113352,LOAD00056676,TRIP00056676,Delivery,FAC00011,2026-01-01 04:35:46.783430,2026-01-01 09:53:23.390520,9.0,False,Indianapolis,IN
113355,EVT00113356,LOAD00056678,TRIP00056678,Delivery,FAC00034,2026-01-01 13:36:48.601021,2026-01-01 19:26:11.618737,216.0,False,Miami,FL
113357,EVT00113358,LOAD00056679,TRIP00056679,Delivery,FAC00011,2026-01-02 05:54:45.308395,2026-01-02 08:34:19.126846,0.0,False,Portland,OR
113359,EVT00113360,LOAD00056680,TRIP00056680,Delivery,FAC00018,2026-01-01 16:30:01.792092,2026-01-01 22:11:45.715290,0.0,False,Denver,CO
113361,EVT00113362,LOAD00056681,TRIP00056681,Delivery,FAC00041,2026-01-02 10:57:43.366826,2026-01-02 08:10:48.621132,176.0,False,Portland,OR
113363,EVT00113364,LOAD00056682,TRIP00056682,Delivery,FAC00046,2026-01-02 11:34:16.334738,2026-01-02 15:33:47.833400,98.0,False,Charlotte,NC
113367,EVT00113368,LOAD00056684,TRIP00056684,Delivery,FAC00031,2026-01-01 20:41:48.450332,2026-01-02 01:46:27.055657,0.0,False,Denver,CO
